title,desc,access,publisher,contact,email,bureauCode
Annual 2016 Electric Generator Report,"Annual U.S. generator level data about generators at electric power plants owned and operated by electric utilities and nonutilities (including independent power producers, combined heat and power producers, and other industrials). Based on EIA Form-860 data. Data contained in a zip file.                                                                                                                                                        The zip file contains generator-specific information such as initial date of commercial operation, prime movers, generating capacity, energy sources, status of existing and proposed generators, proposed changes to existing generators, county and State location (including power plant address), ownership, and FERC qualifying facility status. The file also includes data on the ability to use multiple fuels; specifically, data on co-firing and fuel switching are included.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2017 Electric Generator Report,"Annual U.S. generator level data about generators at electric power plants owned and operated by electric utilities and nonutilities (including independent power producers, combined heat and power producers, and other industrials). Based on EIA Form-860 data. Data contained in a zip file.                                                                                                                                                        The zip file contains generator-specific information such as initial date of commercial operation, prime movers, generating capacity, energy sources, status of existing and proposed generators, proposed changes to existing generators, county and State location (including power plant address), ownership, and FERC qualifying facility status. The file also includes data on the ability to use multiple fuels; specifically, data on co-firing and fuel switching are included.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2018 Electric Generator Report,"Annual U.S. generator level data about generators at electric power plants owned and operated by electric utilities and nonutilities (including independent power producers, combined heat and power producers, and other industrials). Based on EIA Form-860 data. Data contained in a zip file.                                                                                                                                                        The zip file contains generator-specific information such as initial date of commercial operation, prime movers, generating capacity, energy sources, status of existing and proposed generators, proposed changes to existing generators, county and State location (including power plant address), ownership, and FERC qualifying facility status. The file also includes data on the ability to use multiple fuels; specifically, data on co-firing and fuel switching are included.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2012 Electric Generator Report,"Annual U.S. generator level data about generators at electric power plants owned and operated by electric utilities and nonutilities (including independent power producers, combined heat and power producers, and other industrials). Based on EIA Form-860 data. Data contained in a zip file.                                                                                                                                                        The zip file contains generator-specific information such as initial date of commercial operation, prime movers, generating capacity, energy sources, status of existing and proposed generators, proposed changes to existing generators, county and State location (including power plant address), ownership, and FERC qualifying facility status. The file also includes data on the ability to use multiple fuels; specifically, data on co-firing and fuel switching are included.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2010 Electric Power Industry Data,"Historical U.S. electric utility data. Data on generation, electric purchases, peak load, sales, revenues, customer counts, demand-side management programs, green pricing, net metering programs, and distributed generation capacity. Based on EIA Form-861 data. Data contained in a zip file.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2011 Electric Power Industry Data,"Historical U.S. electric utility data. Data on generation, electric purchases, peak load, sales, revenues, customer counts, demand-side management programs, green pricing, net metering programs, and distributed generation capacity. Based on EIA Form-861 data. Data contained in a zip file.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2012 Electric Power Industry Data,"Historical U.S. electric utility data. Data on generation, electric purchases, peak load, sales, revenues, customer counts, demand-side management programs, green pricing, net metering programs, and distributed generation capacity. Based on EIA Form-861 data. Data contained in a zip file.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2014 Electric Power Industry Data,"Historical U.S. electric utility data. Data on generation, electric purchases, peak load, sales, revenues, customer counts, demand-side management programs, green pricing, net metering programs, and distributed generation capacity. Based on EIA Form-861 data. Data contained in a zip file.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2015 Electric Power Industry Data,"Historical U.S. electric utility data. Data on generation, electric purchases, peak load, sales, revenues, customer counts, demand-side management programs, green pricing, net metering programs, and distributed generation capacity. Based on EIA Form-861 data. Data contained in a zip file.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2013 Electric Power Industry Data,"Historical U.S. electric utility data. Data on generation, electric purchases, peak load, sales, revenues, customer counts, demand-side management programs, green pricing, net metering programs, and distributed generation capacity. Based on EIA Form-861 data. Data contained in a zip file.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual Solar Photovoltaic Module Shipments Report,"Data on domestic shipments of photovoltaic cells and modules by market sector, end use, and type.  Based on information reported on Form EIA-63B, “Annual Photovoltaic Cell/Module Shipments Report.”  Shipments as reported by respondents are for terrestrial (land-based) use only. Shipments intended for applications in space programs (satellites, military projects, etc.) are excluded.                                                                                                                                                                                          Market Sector: Residential; Commercial; Industrial; Electric Power End use: Grid-connected Centralized PV System; Grid-connected Distributed PV System; Off-grid Domestic PV System; Off-grid Non-domestic PV System Type: Crystalline Silicon; Thin-Film; Concentrator",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2016 Electric Power Industry Data,"Historical U.S. electric utility data. Data on generation, electric purchases, peak load, sales, revenues, customer counts, demand-side management programs, green pricing, net metering programs, and distributed generation capacity. Based on EIA Form-861 data. Data contained in a zip file.",public,U.S. Energy Information Administration,William Jeffers,melinda.hobbs@eia.gov,019:20
Annual 2017 Electric Power Industry Data,"Historical U.S. electric utility data. Data on generation, electric purchases, peak load, sales, revenues, customer counts, demand-side management programs, green pricing, net metering programs, and distributed generation capacity. Based on EIA Form-861 data. Data contained in a zip file.",public,U.S. Energy Information Administration,William Jeffers,melinda.hobbs@eia.gov,019:20
Annual 2018 Electric Power Industry Data,"Historical U.S. electric utility data. Data on generation, electric purchases, peak load, sales, revenues, customer counts, demand-side management programs, green pricing, net metering programs, and distributed generation capacity. Based on EIA Form-861 data. Data contained in a zip file.",public,U.S. Energy Information Administration,William Jeffers,melinda.hobbs@eia.gov,019:20
Annual Company Level Natural Gas Supply and Disposition From 1997-Latest Year Available,"Annual company level data on the supply and disposition of natural gas in the United States from an identified universe of pipelines, local distribution companies, and operators of fields, wells or gas processing plants, who distribute gas to end users or transport gas across State borders; or underground natural gas storage operators.  Annual time series extend back to 1997. Based on Form EIA-176 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual Electric Generator Report - Latest Year,"Annual U.S. generator level data about generators at electric power plants owned and operated by electric utilities and nonutilities (including independent power producers, combined heat and power producers, and other industrials). Based on EIA Form-860 d",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual Energy Outlook,"The Annual Energy Outlook presents longterm annual projections of energy supply, demand, and prices focused on the U.S. through 2050, based on results from EIA's National Energy Modeling System (NEMS). NEMS enables EIA to make projections under alternative, internally-consistent sets of assumptions, the results of which are presented as cases. The analysis in AEO2014 focuses on five primary cases: a Reference case,
Low and High Economic Growth cases, and Low and High Oil Price cases. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual Summary Electricity Statistics for the U. S. From 2003 - Latest Year Available,"Annual data back to 2003 at the national level for electricity generation; capacity; consumption and cost of fossil fuels; sales, price and revenue; emissions; demand-side management; and operating revenues, expenses, and income. Based on Form EIA-860 and Form EIA-861 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Aggregate Coal Mine Average Employees Application Programming Interface (API),"Annual data on the number of employees in coal mines. Data organized by mine type (total, surface, underground, refuse mining). Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Aggregate Coal Mine Labor Hours Application Programming Interface (API),"Annual data on coal mine labor hours. Data organized by mine type (surface, underground, refuse). Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Aggregate Coal Mine Production Application Programming Interface (API),"Annual data on coal mine production. Data organized by coal rank (lignite, anthracite, subbituminous, bituminous) and by mine type (surface, underground, refuse). Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Aggregate Coal Mine Productivity Application Programming Interface (API),"Annual data on coal mine productivity in short tons per labor hour. Data organized by mine type (total, surface, underground, refuse). Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data and Statistics,"International and domestic data on coal production, consumption, prices, reserves, stocks, imports, exports, distribution, and transportation rates. Weekly, monthly, and annual data available.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data Collection,"International and domestic data on coal production, consumption, prices, reserves, stocks, imports, exports, distribution, and transportation rates. Weekly, monthly, and annual data available.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Ash Content Application Programming Interface (API),"Data on the percentage of ash in coal. Ash increases the weight of coal, adds to the cost of handling, and can affect its burning characteristics. Ash content is measured as a percent by weight of coal on an ""as received"" or a ""dry"" (moisture-free, usually part of a laboratory analysis) basis.  Data organized by electric power sector, i.e., electric utility, independent power producers, commercial and institutional, and coke plants. Quarterly and annual data available. Based on Form EIA-3 and Form EIA-923 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Average Price by Rank Application Programming Interface (API),"Data on the average price of coal by rank, i.e., lignite, anthracite, subbituminous, and bituminous coal. Annual data available. Based on Form EIA-7 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Coal Mine Ending Stocks Application Programming Interface (API),Data on coal mine ending stocks. Annual data available. Based on Form EIA-7 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Data: Coal shipments to the electric power sector: ash content, by plant state Application Programming Interface (API)","Data on the ash content of coal that is shipped to the electric power sector. Data organized by plant state and by coal, i.e., lignite, anthracite, subbituminous, bituminous, waste coal, and synfuel coal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Data: Coal shipments to the electric power sector: heat content, by plant state Application Programming Interface (API)","Data on the heat content of coal that is shipped to the electric power sector. Data organized by plant state and by coal, i.e., lignite, anthracite, subbituminous, bituminous, waste coal, and synfuel coal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Data: Coal shipments to the electric power sector: price, by plant state Application Programming Interface (API)","Data on the price of coal that is shipped to the electric power sector. Data organized by plant state and by coal, i.e., lignite, anthracite, subbituminous, bituminous, waste coal, and synfuel coal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Data: Coal shipments to the electric power sector: sulfur content, by plant state Application Programming Interface (API)","Data on the sulfur content of coal that is shipped to the electric power sector. Data organized by plant state and by coal, i.e., lignite, anthracite, subbituminous, bituminous, waste coal, and synfuel coal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Export Price Application Programming Interface (API),"Data on coal, coke, metallurgical coal, and steam coal export prices in $/short ton. Data organized by country and by terminal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Export Quantity Application Programming Interface (API),"Data on all coal, coke, metallurgical, and steam coal export quantities. Data organized by country and by terminal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Heat Content Application Programming Interface (API),"Data on the heat content of coal. Data organized by electric power sector, i.e., electric utility, independent power producers, commercial and institutional, and coke plants. Quarterly and annual data available. Based on Form EIA-3 and Form EIA-923 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Import Price Application Programming Interface (API),"Data on coal, coke, metallurgical coal, and steam coal imports price in $/short ton. Data organized by country and by terminal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Import Quantity Application Programming Interface (API),"Data on coal, coke, metallurgical coal, and steam coal import quantities in short ton. Data organized by country and by terminal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Market Average Price Application Programming Interface (API),Data on the average price of coal sold in the open market and captive market. Annual data available. Based on Form EIA-7 data.Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Market Sales Application Programming Interface (API),Data on the amount of coal sold in the open market and captive market. Annual data available. Based on Form EIA-7 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Mine Level Data Application Programming Interface (API),"Coal mine level data on the number of employees, labor hours, and production. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Price Application Programming Interface (API),"Data on coal prices in $/short ton. Data organized by electric power sector, i.e., electric utility, independent power producers, commercial and institutional, and coke plants. Quarterly and annual data available. Based on Form EIA-3 and Form EIA-923 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Productive Capacity Application Programming Interface (API),Data on the maximum amount of coal that a mining operation can produce or process.  Annual data available. Based on Form EIA-7 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Receipts Application Programming Interface (API),"Data on coal receipts in short tons. Data organized by electric power sector, i.e., electric utility, independent power producers, commercial and institutional, and coke plants. Quarterly and annual data available. Based on Form EIA-3 and Form EIA-923 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Recoverable Reserves at Producing Mines Application Programming Interface (API),"Data on estimated coal reserves based on a demonstrated reserve base, adjusted for assumed accessibility and recovery factors, and does not include any specific economic feasibility criteria. Annual data available. Based on Form EIA-7 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Stocks Application Programming Interface (API),"Data on coal stocks in short tons. Data organized by electric power sector, i.e., electric utility, independent power producers, commercial and institutional, and coke plants. Quarterly and annual data available. Based on Form EIA-3 and Form EIA-923 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Sulfur Content Application Programming Interface (API),"Data on the quality of coal. Determined by the percentage of sulfur in the coal. Data organized by electric power sector, i.e., electric utility, independent power producers, commercial and institutional, and coke plants. Quarterly and annual data available. Based on Form EIA-3 and Form EIA-923 data.Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Total Consumption Application Programming Interface (API),"Data on coal consumption. Data organized by electric power sector, i.e., electric utility, independent power producers, commercial and institutional, and coke plants. Quarterly and annual data available. Based on Form EIA-3 and Form EIA-923 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2013","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, and Union Status, 1991","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operaton, Union Status, and Average Number of Employees and Hours 2016","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operaton, Union Status, and Average Number of Employees and Hours 2017","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Production by MSHA ID,"Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, and Union Status, 1992","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, and Union Status, 1993","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, and Union Status, 1994","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, and Union Status, 1995","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, and Union Status, 1996","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, and Union Status, 1997","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2007","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2000","Coal production data files contain information which identify the U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2001","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2002","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2003","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2004","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2005","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2006","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2008","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2009","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2010","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Employee Hours 1998","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Employee Hours 1999","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, and union status. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Data: Coal shipments to the electric power sector: ash content, by mine state Application Programming Interface (API)","Data on the ash content of coal that is shipped to the electric power sector. Data organized by mine state and by coal, i.e., lignite, anthracite, subbituminous, bituminous, waste coal, and synfuel coal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Coal shipments to the electric power sector: by mine Application Programming Interface (API),Data on coal shipments to the electric power sector by mine. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data: Coal shipments to the electric power sector: by plant Application Programming Interface (API),Data on coal shipments to the electric power sector by plant. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Data: Coal shipments to the electric power sector: heat content, by mine state Application Programming Interface (API)","Data on the heat content of coal that is shipped to the electric power sector. Data organized by mine state and by coal, i.e., lignite, anthracite, subbituminous, bituminous, waste coal, and synfuel coal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Data: Coal shipments to the electric power sector: price, by mine state Application Programming Interface (API)","Data on the price of coal that is shipped to the electric power sector. Data organized by mine state and by coal (i.e., lignite, anthracite, subbituminous, bituminous, waste coal, and synfuel coal). Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Data: Coal shipments to the electric power sector: quantity, by mine state Application Programming Interface (API)","Data on the quantity of coal that is shipped to the electric power sector. Data organized by mine state and by coal, i.e., lignite, anthracite, subbituminous, bituminous, waste coal, and synfuel coal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Data: Coal shipments to the electric power sector: quantity, by plant state Application Programming Interface (API)","Data on coal shipments to the electric power sector. Data organized by plant state and by coal, i.e., lignite, anthracite, subbituminous, bituminous, waste coal, and synfuel coal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Data: Coal shipments to the electric power sector: sulfur content, by mine state Application Programming Interface (API)","Data on the sulfur content of coal that is shipped to the electric power sector. Data organized by mine state and by coal, i.e., lignite, anthracite, subbituminous, bituminous, waste coal, and synfuel coal. Quarterly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Commercial Buildings Energy Consumption Survey,"The Commercial Buildings Energy Consumption Survey (CBECS) is a national sample survey that collects information on the stock of U.S. commercial buildings, their energy-related building characteristics, and their energy consumption and expenditures. Commercial buildings include all buildings in which at least half of the floorspace is used for a purpose that is not residential, industrial, or agricultural, so they include building types that might not traditionally be considered ""commercial,"" such as schools, correctional institutions, and buildings used for religious worship. The CBECS was first conducted in 1979; the eighth, and most recent survey, was conducted in 2003. CBECS is currently conducted on a quadrennial basis.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
